	user	text	location	date
31	coinstats	"BitcoinCash - BCH
Price: $311.85
Change in 1h: +0.14%
Market cap: $5,581,929,116.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 08:00:22
32	webnowcompany	#BTC #BCH Smaller cryptocurrencies fall amidst the storm of controversy that has engulfed Facebook’s digital curren… https://t.co/MCwWJvF3f1	USA	2019-07-19 07:49:46
33	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10440.23 $ (-0.19 %)
$ETH - 221.42 $   (+0.37 %)
$XRP - 0.32 $     (+0.2… https://t.co/czo72txtZS"		2019-07-19 07:44:22
34	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10489.3 $   (-0.01 %)
$ETH   - 222.22 $    (+0.41 %)
$XRP   - 0.32 $… https://t.co/ryBV19vBCH"		2019-07-19 07:44:13
35	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10435.41 $  (-0.17 %)
$ETH - 221.51 $    (+0.36 %)
$XRP - 0.32 $      (+… https://t.co/Vow9PTmT7E"		2019-07-19 07:44:12
36	YottaMatrix	"Current Price Of:
#BTC: $10529.4558564
#BCH: $311.128914874
#BNB: $29.1343707906
#TRX: $0.0254184359
#BTT: $0.0009589286"	Malta	2019-07-19 07:25:51
37	aWebAnalysis	"Bitcoin Cash BCH Current Price:
$310.67
1 Hour: -1.03 % | 24 Hours: 3.77 % | 7 Days: -11.20 %
#bch #bitcoin cash"	New York, NY	2019-07-19 07:17:03
38	YottaMatrix	"Current Price Of:
#BTC: $10488.0054484
#BCH: $310.478562796
#BNB: $29.0687071837
#TRX: $0.0252737465
#BTT: $0.0009529655"	Malta	2019-07-19 07:15:54
39	webnowcompany	#BTC #BCH #CASINO The Indian government has finally spoken up about the regulatory framework for cryptocurrency it… https://t.co/K9TUgOl1F9	USA	2019-07-19 07:13:57
40	arruah	@BCHcain It is enough to convince about #BCH well-known personalities such as @elonmusk @joerogan @JeffBezos… https://t.co/L00tCUijb5	Kazakhstan	2019-07-19 07:07:57
